00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, UDP, 172.18.106.165, 142.250.193.4, 46572, 443, N/A, 1739118702.6707194, 82
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, UDP, 142.250.193.4, 172.18.106.165, 443, 46572, N/A, 1739118702.7009187, 1294
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, UDP, 172.18.106.165, 142.250.193.4, 46572, 443, N/A, 1739118702.7013838, 82
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, UDP, 142.250.193.4, 172.18.106.165, 443, 46572, N/A, 1739118702.7346945, 1294
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, UDP, 142.250.193.4, 172.18.106.165, 443, 46572, N/A, 1739118702.7353616, 1294
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, UDP, 142.250.193.4, 172.18.106.165, 443, 46572, N/A, 1739118702.7359345, 1294
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, UDP, 142.250.193.4, 172.18.106.165, 443, 46572, N/A, 1739118702.7362947, 1294
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, UDP, 142.250.193.4, 172.18.106.165, 443, 46572, N/A, 1739118702.7366745, 1294
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, UDP, 142.250.193.4, 172.18.106.165, 443, 46572, N/A, 1739118702.7370777, 618
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, UDP, 142.250.193.4, 172.18.106.165, 443, 46572, N/A, 1739118702.7374308, 86
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, UDP, 172.18.106.165, 142.250.193.4, 46572, 443, N/A, 1739118702.737862, 84
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 142.251.42.3, 40188, 80, PA, 1739118702.738392, 493
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, UDP, 142.250.193.4, 172.18.106.165, 443, 46572, N/A, 1739118702.751745, 110
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, UDP, 172.18.106.165, 142.250.193.4, 46572, 443, N/A, 1739118702.7579947, 86
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, UDP, 142.250.193.4, 172.18.106.165, 443, 46572, N/A, 1739118702.7749841, 85
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 142.250.193.4, 36490, 443, S, 1739118702.7754862, 74
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 142.251.42.3, 172.18.106.165, 80, 40188, A, 1739118702.7809653, 66
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 142.250.193.4, 172.18.106.165, 443, 36490, SA, 1739118702.7917097, 74
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 142.250.193.4, 36490, 443, A, 1739118702.7921422, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 142.250.193.4, 36490, 443, PA, 1739118702.7926087, 1965
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, UDP, 172.18.106.165, 142.250.193.4, 46572, 443, N/A, 1739118702.8073363, 82
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 142.250.193.4, 172.18.106.165, 443, 36490, A, 1739118702.8130972, 66
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 142.250.193.4, 172.18.106.165, 443, 36490, A, 1739118702.8136268, 66
