Source MAC,Destination MAC,Protocol,Source IP,Destination IP,Source Port,Destination Port,TCP Flags,Timestamp,Packet Length
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599372.4050553,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599372.405488,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599372.4059653,60
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599374.47192,168
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599374.4831815,2167
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599374.4859505,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599374.4880784,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599374.4897242,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,PA,1731599374.9407394,154
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,A,1731599374.986206,54
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,PA,1731599375.3188171,154
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,A,1731599375.3203754,54
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599376.5905159,173
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599376.5924869,7354
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599376.5935152,1114
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599376.5946968,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599376.5953357,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599376.5962145,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599376.597658,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599376.5980153,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599376.5987453,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599376.5992727,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,PA,1731599378.3944037,149
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,A,1731599378.3990057,54
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599378.4021873,89
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599378.4030104,60
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599378.6646419,173
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599378.666075,6329
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599378.667941,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599378.6689131,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599378.6696908,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599378.6709716,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599378.672717,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599378.6737108,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,PA,1731599379.518918,154
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,A,1731599379.5577874,54
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599380.8663263,173
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599380.8710396,7354
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599380.873666,1172
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599380.875078,60
