2025-02-09 16:41:52,146 - Alert: Anomaly detected at row 104 - {'src_port': -0.7572333350916952, 'dst_port': 0.3526740507371283, 'timestamp': -1.1742159722138719, 'packet_size': 0.7109112180128829, 'inter_arrival_time': -0.03544894335351768, 'packet_rate': 0.06014852165553608, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,146 - Alert: Anomaly detected at row 119 - {'src_port': -0.7736864433059613, 'dst_port': 0.849124846874726, 'timestamp': -1.154799550575486, 'packet_size': -0.14666587211592158, 'inter_arrival_time': 0.028118885864833586, 'packet_rate': -1.2620208597591482, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,146 - Alert: Anomaly detected at row 120 - {'src_port': 1.37881523464306, 'dst_port': -1.283332489284329, 'timestamp': -1.1547411737502271, 'packet_size': -0.31847540060414453, 'inter_arrival_time': -0.028093680909633278, 'packet_rate': 1.1680265171010245, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,147 - Alert: Anomaly detected at row 162 - {'src_port': 1.3335805183955738, 'dst_port': -1.2670325942953684, 'timestamp': -1.1410228524944157, 'packet_size': -0.017502360684689803, 'inter_arrival_time': -0.021640519307860994, 'packet_rate': 1.1680265171010245, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,147 - Alert: Anomaly detected at row 166 - {'src_port': 1.3335805183955738, 'dst_port': -1.2670325942953684, 'timestamp': -1.129718637887048, 'packet_size': -0.017502360684689803, 'inter_arrival_time': -0.01505340462371868, 'packet_rate': 1.1680265171010245, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,147 - Alert: Anomaly detected at row 242 - {'src_port': -0.7736864433059613, 'dst_port': 0.5176487454738806, 'timestamp': -1.10592599676754, 'packet_size': -0.31847540060414453, 'inter_arrival_time': 0.7014605073174117, 'packet_rate': -1.2171297789039415, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,148 - Alert: Anomaly detected at row 515 - {'src_port': 1.8416778822576192, 'dst_port': -1.2670325942953684, 'timestamp': -1.0864596523436914, 'packet_size': 0.1471994982940346, 'inter_arrival_time': -0.09546420174867724, 'packet_rate': 1.1680265171010245, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,148 - Alert: Anomaly detected at row 525 - {'src_port': 1.8425843895972482, 'dst_port': -1.2670325942953684, 'timestamp': -1.0860169657277012, 'packet_size': 0.1471994982940346, 'inter_arrival_time': -0.09538360476802435, 'packet_rate': 1.1680265171010245, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,148 - Alert: Anomaly detected at row 526 - {'src_port': 1.8424030881293223, 'dst_port': -1.2670325942953684, 'timestamp': -1.0859750057687132, 'packet_size': 0.1471994982940346, 'inter_arrival_time': -0.09546667819221685, 'packet_rate': 1.1680265171010245, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,149 - Alert: Anomaly detected at row 529 - {'src_port': 1.841768532991582, 'dst_port': -1.2670325942953684, 'timestamp': -1.0858079415327424, 'packet_size': 0.1471994982940346, 'inter_arrival_time': -0.09480929499806479, 'packet_rate': 1.1680265171010245, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,149 - Alert: Anomaly detected at row 656 - {'src_port': -0.7572333350916952, 'dst_port': 0.5832075517655677, 'timestamp': -1.0787863573420873, 'packet_size': -0.31847540060414453, 'inter_arrival_time': 2.7527191781216813, 'packet_rate': -1.2611738582335785, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,149 - Alert: Anomaly detected at row 715 - {'src_port': -0.7572333350916952, 'dst_port': 1.308575330420303, 'timestamp': -1.075504380167908, 'packet_size': 0.7109112180128829, 'inter_arrival_time': -0.013987408245530299, 'packet_rate': -0.92914926021016, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,149 - Alert: Anomaly detected at row 782 - {'src_port': -0.7572333350916952, 'dst_port': 1.0827117717578467, 'timestamp': -1.0717103777394108, 'packet_size': -0.17313581373750228, 'inter_arrival_time': -0.01937727504388469, 'packet_rate': -1.2332228078897702, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,149 - Alert: Anomaly detected at row 933 - {'src_port': -0.7572333350916952, 'dst_port': 0.811361178319035, 'timestamp': -1.0472134401302222, 'packet_size': -0.3167597562397828, 'inter_arrival_time': 0.07642979669808486, 'packet_rate': -0.92914926021016, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,149 - Alert: Anomaly detected at row 1350 - {'src_port': -0.7736864433059613, 'dst_port': 0.5176487454738806, 'timestamp': -1.004705080248762, 'packet_size': -0.14666587211592158, 'inter_arrival_time': -0.00824341002101111, 'packet_rate': -1.2171297789039415, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,150 - Alert: Anomaly detected at row 1720 - {'src_port': 0.9096070356510981, 'dst_port': -1.2670325942953684, 'timestamp': -0.9265120891212686, 'packet_size': -0.31455392777131774, 'inter_arrival_time': -0.05442300349157824, 'packet_rate': 1.1680265171010245, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,150 - Alert: Anomaly detected at row 1746 - {'src_port': 1.3406966010116612, 'dst_port': -1.2670325942953684, 'timestamp': -0.9151814265545388, 'packet_size': -0.017502360684689803, 'inter_arrival_time': -0.07175585695656736, 'packet_rate': 1.1680265171010245, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,150 - Alert: Anomaly detected at row 1749 - {'src_port': -0.7572333350916952, 'dst_port': 0.811361178319035, 'timestamp': -0.9133215636527279, 'packet_size': -0.3179852165000412, 'inter_arrival_time': 1.0530835213078127, 'packet_rate': -0.92914926021016, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,150 - Alert: Anomaly detected at row 1911 - {'src_port': 1.3406966010116612, 'dst_port': -1.2670325942953684, 'timestamp': -0.8918940112628458, 'packet_size': -0.017502360684689803, 'inter_arrival_time': -0.017662225327086573, 'packet_rate': 1.1680265171010245, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,150 - Alert: Anomaly detected at row 1914 - {'src_port': -0.7572333350916952, 'dst_port': 0.811361178319035, 'timestamp': -0.8902286688363434, 'packet_size': -0.3177401244479895, 'inter_arrival_time': -0.004725509407374013, 'packet_rate': -0.92914926021016, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,150 - Alert: Anomaly detected at row 2003 - {'src_port': 1.3335805183955738, 'dst_port': -1.2670325942953684, 'timestamp': -0.8802058746647375, 'packet_size': -0.10990206430817061, 'inter_arrival_time': -0.047557401474844795, 'packet_rate': 1.1680265171010245, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,150 - Alert: Anomaly detected at row 2007 - {'src_port': -0.7572333350916952, 'dst_port': 0.8043113614780796, 'timestamp': -0.8784470465871566, 'packet_size': -0.13906801850231973, 'inter_arrival_time': 0.5527674078683695, 'packet_rate': 0.06014852165553608, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,150 - Alert: Anomaly detected at row 2156 - {'src_port': 1.6390734918505414, 'dst_port': -1.2670325942953684, 'timestamp': -0.7184148137001092, 'packet_size': -0.3165146641877311, 'inter_arrival_time': 1.1556247184276853, 'packet_rate': 1.1680265171010245, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,150 - Alert: Anomaly detected at row 2241 - {'src_port': -0.7736864433059613, 'dst_port': 0.23134535580552656, 'timestamp': -0.688943979264213, 'packet_size': -0.3165146641877311, 'inter_arrival_time': 3.960845630116666, 'packet_rate': -1.2620208597591482, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,151 - Alert: Anomaly detected at row 2258 - {'src_port': 1.3335805183955738, 'dst_port': -1.2670325942953684, 'timestamp': -0.6682355114703217, 'packet_size': -0.017502360684689803, 'inter_arrival_time': -0.008002294472745057, 'packet_rate': 1.1680265171010245, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,151 - Alert: Anomaly detected at row 2272 - {'src_port': -0.7572333350916952, 'dst_port': 0.8043113614780796, 'timestamp': -0.6661083251082913, 'packet_size': -0.31602448008362777, 'inter_arrival_time': 1.5939752616189076, 'packet_rate': 0.06014852165553608, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,151 - Alert: Anomaly detected at row 3151 - {'src_port': 1.9756143416878014, 'dst_port': -1.2670325942953684, 'timestamp': -0.580706106301335, 'packet_size': -0.017502360684689803, 'inter_arrival_time': -0.0952550548351953, 'packet_rate': 1.1680265171010245, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,151 - Alert: Anomaly detected at row 3152 - {'src_port': 1.9756143416878014, 'dst_port': -1.2670325942953684, 'timestamp': -0.5806520986893042, 'packet_size': -0.017502360684689803, 'inter_arrival_time': -0.09536176703862957, 'packet_rate': 1.1680265171010245, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,151 - Alert: Anomaly detected at row 3187 - {'src_port': -0.7572333350916952, 'dst_port': 1.4403664923833863, 'timestamp': -0.576294597021064, 'packet_size': -0.18416495607982758, 'inter_arrival_time': -0.07952671165264516, 'packet_rate': -1.2569388506057289, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,151 - Alert: Anomaly detected at row 3256 - {'src_port': 1.8931674991485454, 'dst_port': -1.283332489284329, 'timestamp': -0.5591331030616276, 'packet_size': -0.21284072616987335, 'inter_arrival_time': -0.09291031306564261, 'packet_rate': 1.1680265171010245, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,151 - Alert: Anomaly detected at row 3267 - {'src_port': -0.7736864433059613, 'dst_port': 1.358687404270661, 'timestamp': -0.5576811798966447, 'packet_size': -0.31847540060414453, 'inter_arrival_time': 7.501749927793236, 'packet_rate': -1.2645618643358583, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,151 - Alert: Anomaly detected at row 3346 - {'src_port': -0.7572333350916952, 'dst_port': 0.8043113614780796, 'timestamp': -0.5325556960626151, 'packet_size': -0.3140637436672144, 'inter_arrival_time': 0.973816615966925, 'packet_rate': 0.06014852165553608, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
